Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIAs) by Census subdivision (CSD) and Province/Territory,,,,,,,,,
Province/Territory,CSD,2016,2017,2018,2019,2020,2021,2022,2023
,2461013-Crabtree,6,2,0,0,0,0,0,0
,2461020-Saint-Pierre,0,0,0,3,2,0,0,2
,2461025-Joliette,146,70,69,78,68,153,254,191
,2461027-Saint-Thomas,281,212,165,360,251,411,415,355
,2461030-Notre-Dame-des-Prairies,0,1,1,44,0,0,17,15
,2461035-Saint-Charles-Borromée,0,1,0,0,12,2,25,35
,2461040-Saint-Ambroise-de-Kildare,6,12,27,29,65,78,63,114
,2461045-Notre-Dame-de-Lourdes,34,45,56,54,55,42,45,53
,2461050-Sainte-Mélanie,66,54,19,129,69,135,84,98
,2462007-Saint-Félix-de-Valois,8,15,10,25,15,25,45,36
,2462015-Saint-Jean-de-Matha,0,0,2,5,5,10,20,12
,2462020-Sainte-Béatrix,0,0,0,2,2,2,1,5
,2462025-Saint-Alphonse-Rodriguez,0,0,0,0,1,1,0,2
,2462030-Sainte-Marcelline-de-Kildare,0,0,0,0,0,0,1,0
,2462037-Rawdon,6,6,10,16,16,19,33,35
,2462047-Chertsey,0,0,0,0,0,0,0,3
,2462055-Notre-Dame-de-la-Merci,0,0,0,0,0,2,9,5
,2462060-Saint-Donat,1,1,3,3,3,0,3,33
,2462065-Saint-Côme,44,66,9,42,34,52,41,10
,2462075-Saint-Damien,0,0,0,0,0,0,11,17
,2462080-Saint-Zénon,0,0,0,0,0,0,0,1
,2462085-Saint-Michel-des-Saints,1,1,1,10,1,0,25,19
,2462802-Manawan,0,0,0,0,0,0,0,3
,2463005-Sainte-Marie-Salomé,0,0,5,12,10,5,1,6
,2463013-Saint-Jacques,81,72,95,124,49,116,145,142
,2463030-Saint-Esprit,17,121,23,113,140,111,96,58
,2463040-Saint-Roch-Ouest,177,156,169,201,248,281,338,343
,2463048-Saint-Lin--Laurentides,178,159,170,212,175,228,255,234
,2463055-Saint-Calixte,0,0,0,0,0,0,2,1
,2463060-Sainte-Julienne,129,89,141,248,103,209,285,202
,2463065-Saint-Liguori,56,0,38,46,4,59,79,64
,2464008-Terrebonne,26,23,26,109,67,91,305,303
,2464015-Mascouche,10,7,1,10,8,7,55,65
,2465005-Laval,620,548,686,512,"1,028",658,"1,915","1,797"
,2466007-Montréal-Est,2,2,13,23,25,20,80,115
,2466023-Montréal,"1,694","1,508","1,757","2,806","2,536","2,552","6,970","7,463"
,2466032-Westmount,46,49,32,69,61,67,122,118
,2466047-Montréal-Ouest,2,2,0,4,3,3,13,10
,2466058-Côte-Saint-Luc,46,56,45,93,79,75,174,112
,2466062-Hampstead,33,27,40,51,61,45,101,69
,2466072-Mont-Royal,31,23,16,39,56,35,112,115
,2466087-Dorval,15,14,15,22,67,35,216,253
,2466097-Pointe-Claire,16,9,13,21,43,34,101,143
,2466102-Kirkland,8,6,3,7,7,3,44,59
,2466107-Beaconsfield,3,4,5,6,8,8,13,14
,2466112-Baie-D'Urfé,0,2,3,2,9,13,50,45
,2466117-Sainte-Anne-de-Bellevue,6,4,3,2,5,1,5,7
,2466127-Senneville,0,3,5,4,8,25,60,14
,2466142-Dollard-Des Ormeaux,18,21,15,16,29,22,69,105
,2467005-Saint-Mathieu,1,0,0,0,2,0,2,1
,2467010-Saint-Philippe,2,2,0,11,23,19,16,34
,2467015-La Prairie,14,5,28,21,41,27,78,55
,2467020-Candiac,0,5,1,2,3,4,73,68
,2467025-Delson,0,1,0,17,15,24,45,51
,2467030-Sainte-Catherine,0,1,1,6,4,13,17,27
,2467035-Saint-Constant,279,57,28,263,294,224,307,213
,2467040-Saint-Isidore,277,145,235,76,332,315,344,261
,2467045-Mercier,145,125,155,186,161,110,137,111
,2467050-Châteauguay,9,7,3,9,26,12,72,209
,2467055-Léry,0,0,0,0,1,0,0,1
,2467802-Kahnawake,0,0,0,0,0,0,0,1
,2468005-Saint-Bernard-de-Lacolle,8,5,11,1,4,9,34,17
,2468015-Hemmingford,32,30,21,59,40,52,66,66
,2468020-Sainte-Clotilde,"1,008",791,942,"1,382","1,331",852,"1,659","1,261"
,2468025-Saint-Patrice-de-Sherrington,812,545,497,"1,089",913,"1,032","1,261","1,127"
,2468035-Saint-Cyprien-de-Napierville,183,146,240,315,190,160,210,222
,2468040-Saint-Jacques-le-Mineur,57,29,32,41,36,79,42,58
,2468045-Saint-Édouard,61,54,64,98,75,112,113,98
,2468050-Saint-Michel,451,314,337,571,430,530,787,707
,2468055-Saint-Rémi,622,430,560,911,503,"1,124",903,874
,2469005-Havelock,29,57,39,67,69,59,65,64
,2469010-Franklin,128,106,148,230,157,232,252,283
,2469017-Saint-Chrysostome,13,9,16,44,33,19,18,17
,2469037-Ormstown,10,15,38,22,35,80,47,39
,2469045-Hinchinbrooke,8,9,12,2,12,31,13,16
,2469050-Elgin,0,0,8,9,6,6,10,9
,2469060-Godmanchester,6,6,6,5,8,6,26,32
,2469070-Saint-Anicet,5,9,12,24,25,26,43,31
,2470005-Saint-Urbain-Premier,0,0,0,2,3,8,15,15
,2470012-Sainte-Martine,4,0,4,5,9,49,37,77
,2470022-Beauharnois,1,0,7,12,5,4,21,19
,2470030-Saint-Étienne-de-Beauharnois,1,6,6,6,1,6,9,1
,2470035-Saint-Louis-de-Gonzague,6,3,15,17,23,31,34,27
,2470040-Saint-Stanislas-de-Kostka,3,3,4,6,8,13,7,15
,2470052-Salaberry-de-Valleyfield,55,21,78,114,69,53,196,223
,2471005-Rivière-Beaudette,0,0,0,0,1,1,3,2
,2471015-Saint-Télesphore,3,1,2,3,3,3,9,23
,2471020-Saint-Polycarpe,18,13,19,20,14,39,31,34
,2471025-Saint-Zotique,66,23,99,49,54,61,98,88
,2471033-Les Coteaux,46,57,25,97,12,62,156,49
,2471040-Coteau-du-Lac,76,74,82,74,103,86,106,122
,2471045-Saint-Clet,22,19,18,33,27,20,11,6
,2471050-Les Cèdres,27,14,4,13,9,19,58,40
,2471055-Pointe-des-Cascades,0,0,0,0,0,0,1,0
,2471060-L'Île-Perrot,0,0,0,1,1,1,13,15
,2471065-Notre-Dame-de-l'Île-Perrot,8,6,3,10,22,19,17,20
,2471070-Pincourt,0,3,0,0,2,3,21,8
,2471075-Terrasse-Vaudreuil,0,1,0,0,0,0,0,3
,2471083-Vaudreuil-Dorion,18,10,19,34,71,48,210,171
,2471100-Hudson,1,0,1,3,0,1,5,4
,2471105-Saint-Lazare,7,1,14,7,24,15,39,15
,2471110-Sainte-Marthe,12,4,13,22,5,15,15,28
,2471115-Sainte-Justine-de-Newton,3,6,6,11,10,41,36,20
,2471125-Très-Saint-Rédempteur,0,0,0,0,0,0,1,1
,2471133-Rigaud,3,0,1,2,5,7,22,21
,2472005-Saint-Eustache,339,189,229,351,272,425,533,635
,2472010-Deux-Montagnes,0,0,2,0,2,0,56,5
,2472015-Sainte-Marthe-sur-le-Lac,0,0,0,0,2,1,10,30
,2472020-Pointe-Calumet,0,0,0,0,0,0,2,0
,2472025-Saint-Joseph-du-Lac,150,159,180,330,315,362,500,369
,2472032-Oka,581,158,369,467,380,675,592,624
,2472043-Saint-Placide,17,4,19,19,24,19,25,24
,2473005-Boisbriand,22,17,23,48,71,65,129,247
,2473010-Sainte-Thérèse,15,9,7,20,20,24,62,65
,2473015-Blainville,5,5,18,24,20,27,116,106
,2473020-Rosemère,1,2,1,1,1,2,17,25
,2473025-Lorraine,0,1,0,1,1,0,1,1
,2473030-Bois-des-Filion,0,1,0,0,5,1,15,23
,2473035-Sainte-Anne-des-Plaines,257,271,259,410,502,115,53,8
,2474005-Mirabel,326,205,422,629,679,774,782,805
,2475005-Saint-Colomban,0,0,0,0,0,1,1,3
,2475017-Saint-Jérôme,57,48,42,104,60,157,337,273
,2475028-Sainte-Sophie,43,45,45,29,53,26,155,39
,2475040-Prévost,3,2,3,12,7,15,29,24
,2475045-Saint-Hippolyte,0,0,0,0,0,0,0,11
,2476008-Saint-André-d'Argenteuil,3,3,4,10,12,5,10,7
,2476020-Lachute,7,5,1,13,5,28,38,53
,2476043-Brownsburg-Chatham,14,13,21,12,10,17,27,13
,2476052-Grenville-sur-la-Rouge,0,0,0,0,1,0,0,0
,2476055-Grenville,0,0,0,0,0,2,7,1
,2477011-Estérel,0,0,18,0,0,0,4,1
,2477012-Sainte-Marguerite-du-Lac-Masson,1,0,1,0,1,0,1,2
,2477022-Sainte-Adèle,2,1,0,3,2,2,14,15
,2477035-Sainte-Anne-des-Lacs,0,0,2,0,0,6,0,2
,2477043-Saint-Sauveur,3,0,0,1,8,7,17,50
,2477050-Morin-Heights,0,0,0,0,0,0,0,3
,2477060-Wentworth-Nord,0,0,0,0,0,0,3,0
,2477065-Saint-Adolphe-d'Howard,0,0,0,0,0,0,1,1
,2478005-Val-Morin,0,0,0,0,1,1,2,0
,2478010-Val-David,0,0,0,1,3,0,3,9
,2478032-Sainte-Agathe-des-Monts,0,0,1,0,9,5,23,59
,2478047-Saint-Faustin--Lac-Carré,5,6,5,7,16,8,12,3
,2478055-Montcalm,0,0,0,0,0,0,1,0
,2478060-Arundel,0,1,0,4,4,8,8,8
,2478070-Amherst,0,0,2,4,0,0,0,6
,2478095-Lac-Supérieur,0,0,0,1,0,0,0,0
,2478102-Mont-Tremblant,5,3,7,12,61,33,132,161
,2478115-La Conception,0,0,0,0,0,1,5,3
,2478120-Labelle,0,0,0,0,0,0,0,2
,2478130-La Minerve,0,0,0,0,0,0,4,2
,2479005-Notre-Dame-du-Laus,0,0,0,0,7,11,7,6
,2479025-Kiamika,0,2,0,0,0,0,0,4
,2479037-Rivière-Rouge,0,0,10,19,21,22,30,35
,2479050-L'Ascension,2,2,0,2,3,2,3,3
,2479060-Lac-Saguay,0,1,0,0,0,0,0,0
,2479078-Lac-des-Écorces,0,0,31,90,109,230,336,390
,2479088-Mont-Laurier,1,1,0,13,14,26,72,47
,2479097-Ferme-Neuve,0,0,2,6,5,0,14,2
,2480005-Fassett,0,0,0,2,1,0,3,0
,2480010-Montebello,0,2,0,0,0,0,3,3
,2480020-Notre-Dame-de-la-Paix,2,0,4,4,3,3,23,3
,2480027-Saint-André-Avellin,49,6,26,49,56,27,169,93
,2480037-Papineauville,1,3,2,3,2,2,20,24
,2480045-Plaisance,0,0,8,8,19,2,18,5
,2480060-Lochaber-Partie-Ouest,0,2,0,5,2,6,16,9
,2480078-Ripon,1,4,6,5,6,10,12,1
,2480110-Namur,0,0,0,0,0,2,4,2
,2480125-Saint-Émile-de-Suffolk,0,0,0,1,1,9,6,3
,2480135-Duhamel,0,3,1,4,4,3,3,4
,2481017-Gatineau,40,49,56,109,123,112,402,444
,2482005-L'Ange-Gardien,0,1,1,1,4,4,5,7
,2482015-Val-des-Monts,0,4,5,3,3,6,10,6
,2482020-Cantley,0,0,0,0,1,5,6,15
,2482025-Chelsea,0,1,0,1,4,4,16,13
,2482030-Pontiac,10,1,1,4,3,2,4,3
,2482035-La Pêche,1,0,0,0,3,0,10,9
,2483015-Kazabazua,0,4,0,8,12,0,3,0
,2483020-Lac-Sainte-Marie,0,0,0,0,0,0,0,11
,2483032-Gracefield,0,0,0,0,0,0,3,4
,2483065-Maniwaki,0,0,2,2,7,5,34,17
,2483070-Déléage,1,0,0,0,0,0,0,0
,2483075-Egan-Sud,0,0,0,0,0,4,0,0
,2483090-Aumond,5,0,0,0,20,0,28,0
,2483095-Grand-Remous,0,0,0,0,0,0,1,0
,2484005-Bristol,0,0,0,0,1,0,0,0
,2484030-Campbell's Bay,0,0,0,0,0,0,1,0
,2484045-Thorne,19,11,2,13,7,13,4,12
,2484055-Otter Lake,0,9,37,36,0,0,0,0
,2484065-Mansfield-et-Pontefract,0,1,0,0,0,0,0,0
,2484082-L'Isle-aux-Allumettes,0,0,1,0,0,0,0,0
,2485005-Témiscaming,1,2,1,0,0,0,3,2
,2485015-Saint-Édouard-de-Fabre,1,0,0,0,3,4,9,7
,2485020-Béarn,0,3,2,2,24,4,7,7
,2485025-Ville-Marie,2,3,1,1,0,7,10,7
,2485030-Duhamel-Ouest,0,0,0,0,0,0,0,2
,2485037-Lorrainville,0,0,1,3,1,7,6,5
,2485045-Saint-Bruno-de-Guigues,0,0,9,17,14,13,24,25
,2485050-Laverlochère,0,0,0,1,3,2,3,10
,2485055-Fugèreville,0,4,2,15,3,21,22,22
,2485080-Angliers,0,0,0,0,1,1,3,2
,2485085-Saint-Eugène-de-Guigues,0,0,13,42,30,38,48,54
,2485090-Notre-Dame-du-Nord,0,3,6,7,11,16,6,33
,2485095-Guérin,0,0,0,1,0,1,1,2
,2485100-Nédélec,10,0,23,59,2,34,53,38
,2486042-Rouyn-Noranda,15,4,46,57,81,56,201,256
,2487005-Duparquet,0,1,0,0,0,0,0,0
,2487015-Roquemaure,0,0,1,2,2,1,1,2
,2487020-Gallichan,6,4,4,4,5,6,6,6
,2487025-Palmarolle,0,0,0,4,4,3,3,6
,2487058-Macamic,0,0,0,4,1,2,2,8
,2487070-Sainte-Hélène-de-Mancebourg,0,0,0,0,0,0,2,0
,2487075-Clerval,7,10,7,8,11,16,11,7
,2487080-La Reine,0,8,0,6,0,4,9,2
,2487090-La Sarre,2,2,14,10,18,12,32,53
,2487115-Normétal,0,1,0,1,1,0,1,0
,2488022-Barraute,0,0,0,2,0,1,8,1
,2488035-Landrienne,0,0,0,0,0,4,0,8
,2488050-Saint-Mathieu-d'Harricana,0,0,0,0,0,0,0,40
,2488055-Amos,2,5,4,25,41,23,133,113
,2488060-Saint-Félix-de-Dalquier,0,0,0,4,1,1,4,5
,2488070-Berry,0,0,0,0,0,6,3,2
,2488085-Sainte-Gertrude-Manneville,0,1,0,3,1,2,2,1
,2488090-Preissac,0,0,0,0,0,0,0,3
,2488904-Lac-Chicobi,0,0,0,0,0,6,13,12
,2489008-Val-d'Or,7,11,20,43,44,52,220,242
,2489010-Rivière-Héva,0,0,0,0,0,0,0,3
,2489015-Malartic,0,0,0,4,0,0,18,25
,2489045-Senneterre,1,0,0,3,0,20,16,20
,2490012-La Tuque,3,2,3,6,9,19,48,52
,2490027-Lac-Édouard,1,0,0,0,0,0,1,0
,2491005-Lac-Bouchette,0,0,0,0,0,0,10,0
,2491020-Chambord,0,0,0,1,2,1,4,7
,2491025-Roberval,0,1,2,12,2,19,48,58
,2491035-Saint-Prime,0,0,0,13,10,10,25,15
,2491042-Saint-Félicien,16,83,118,169,156,192,280,464
,2491050-La Doré,0,0,2,4,8,11,47,12
,2492005-Saint-Augustin,0,0,0,0,0,0,8,6
,2492010-Péribonka,0,0,8,36,24,25,12,15
,2492015-Sainte-Jeanne-d'Arc,2,2,6,8,29,35,7,10
,2492022-Dolbeau-Mistassini,20,0,45,60,72,142,198,189
,2492030-Albanel,15,27,9,15,12,28,52,28
,2492040-Normandin,54,60,68,79,45,74,110,124
,2492045-Saint-Thomas-Didyme,0,0,0,0,0,0,11,14
,2492050-Saint-Edmond-les-Plaines,0,0,0,2,2,2,0,2
,2492055-Girardville,5,6,6,37,74,13,84,43
,2492065-Saint-Eugène-d'Argentenay,0,0,2,5,5,6,7,7
,2492902-Passes-Dangereuses,0,0,0,0,0,0,6,2
,2493005-Desbiens,0,0,0,0,0,14,4,2
,2493012-Métabetchouan--Lac-à-la-Croix,0,0,28,44,93,88,82,94
,2493020-Hébertville,0,0,5,10,13,30,30,31
,2493025-Hébertville-Station,0,0,0,5,4,5,4,8
,2493030-Saint-Bruno,20,4,8,24,10,51,75,145
,2493035-Saint-Gédéon,27,14,5,47,23,31,62,40
,2493042-Alma,11,10,9,60,48,77,118,147
,2493045-Saint-Nazaire,6,8,10,23,17,16,19,35
,2493055-Labrecque,0,0,0,0,4,6,8,12
,2493060-Lamarche,0,0,0,0,0,1,6,2
,2493065-L'Ascension-de-Notre-Seigneur,2,40,68,72,89,66,81,86
,2493070-Saint-Henri-de-Taillon,0,0,0,5,1,2,5,3
,2493075-Sainte-Monique,0,1,0,0,1,4,13,5
,2493080-Saint-Ludger-de-Milot,0,0,0,0,0,0,4,13
,2494068-Saguenay,11,8,55,108,123,201,633,616
,2494205-Petit-Saguenay,1,0,1,0,0,0,0,3
,2494210-L'Anse-Saint-Jean,0,0,0,0,0,0,4,0
,2494220-Ferland-et-Boilleau,0,0,0,0,0,0,0,1
,2494230-Sainte-Rose-du-Nord,0,0,0,0,0,1,0,0
,2494235-Saint-Fulgence,0,0,0,0,2,8,3,6
,2494240-Saint-Honoré,0,0,0,0,0,0,19,3
,2494245-Saint-David-de-Falardeau,36,0,0,0,0,0,0,0
,2494250-Bégin,0,0,0,0,0,0,0,3
,2494255-Saint-Ambroise,21,10,42,104,21,119,70,66
,2494265-Larouche,0,0,0,6,8,0,16,5
,2495005-Tadoussac,2,0,4,4,1,3,3,11
,2495010-Sacré-Coeur,0,0,1,0,0,0,18,4
,2495018-Les Bergeronnes,0,0,0,0,0,0,7,7
,2495025-Les Escoumins,0,0,0,0,0,1,46,2
,2495040-Portneuf-sur-Mer,0,0,0,0,0,0,13,17
,2495045-Forestville,0,0,3,14,0,20,26,36
,2496005-Baie-Trinité,0,0,0,2,0,40,50,75
,2496020-Baie-Comeau,1,0,0,3,12,12,132,92
,2496025-Pointe-Lebel,0,0,2,2,2,4,4,4
,2496030-Pointe-aux-Outardes,0,0,2,6,0,0,2,16
,2496035-Chute-aux-Outardes,0,0,0,2,0,2,3,3
,2496802-Pessamit,0,0,0,0,0,0,0,1
,2497007-Sept-Îles,10,20,8,41,91,88,170,269
,2497022-Port-Cartier,0,0,2,4,3,0,6,23
,2497035-Fermont,5,7,10,13,8,13,13,49
,2497040-Schefferville,0,0,0,4,1,0,0,2
,2497802-Uashat,1,0,0,0,1,1,23,19
,2497804-Maliotenam,0,0,0,3,0,0,0,0
,2497806-Kawawachikamach,0,0,0,0,0,0,1,0
,2498005-Blanc-Sablon,0,1,0,1,1,1,1,2
,2498010-Bonne-Espérance,0,0,0,0,0,0,1,0
,2498020-L'Île-d'Anticosti,0,1,1,0,0,0,0,0
,2498035-Baie-Johan-Beetz,0,0,0,0,0,1,0,0
,2498040-Havre-Saint-Pierre,0,0,0,0,3,4,37,14
,2498804-La Romaine,0,0,0,0,0,0,0,1
,2498808-Mingan,0,0,0,0,30,42,140,1
,2499005-Lebel-sur-Quévillon,0,0,0,15,18,3,24,20
,2499015-Matagami,0,0,0,0,1,2,13,17
,2499020-Chapais,0,0,0,8,1,14,14,15
,2499025-Chibougamau,1,2,0,15,44,27,56,127
,2499060-Eeyou Istchee Baie-James,0,0,0,0,1,0,0,2
,2499095-Kuujjuaq,0,0,0,0,1,1,0,2
,2499120-Puvirnituq,0,0,0,0,0,0,0,1
,2499804-Mistissini,0,0,1,0,0,0,9,0
,2499808-Nemaska,0,0,0,0,0,0,8,0
,2499814-Chisasibi,0,0,0,0,0,1,5,1
,2499816-Whapmagoostui,0,0,0,0,0,0,7,0
,3506008-Ottawa,0,0,0,1,0,0,1,0
,3511005-Loyalist,0,0,0,0,0,0,0,1
,Unspecified,"1,971","2,056",923,483,430,436,"1,047","1,585"
Total,,"20,311","17,616","21,257","33,590","32,956","35,699","66,794","62,206"
Ontario,2481017-Gatineau,2,0,0,0,0,0,0,0
,3501005-South Glengarry,8,7,6,10,24,15,28,34
,3501011-South Stormont,0,2,1,0,2,2,5,3
,3501012-Cornwall,5,5,14,22,117,21,171,177
,3501020-South Dundas,15,75,43,58,51,63,79,81
,3501030-North Dundas,0,1,0,3,4,5,3,11
,3501042-North Stormont,22,22,28,34,37,81,46,51
,3501050-North Glengarry,7,10,17,4,18,17,46,49
,3502001-East Hawkesbury,1,3,4,13,2,22,31,21
,3502008-Hawkesbury,0,2,2,1,2,15,43,82
,3502010-Champlain,3,1,0,6,7,5,35,25
,3502023-Alfred and Plantagenet,6,2,8,7,6,6,8,31
,3502025-The Nation / La Nation,17,18,28,36,38,34,79,61
,3502036-Clarence-Rockland,8,4,4,5,5,9,8,13
,3502048-Russell,3,12,6,14,20,39,32,46
,3506008-Ottawa,496,446,532,571,516,737,"1,428","1,887"
,3507004-Edwardsburgh/Cardinal,1,0,2,2,2,1,3,8
,3507006-Augusta,11,0,1,1,2,3,1,13
,3507014-Elizabethtown-Kitley,22,22,25,29,34,28,72,48
,3507015-Brockville,1,1,2,6,11,8,60,66
,3507021-Leeds and the Thousand Islands,2,3,1,0,1,0,4,2
,3507024-Gananoque,0,1,1,0,2,3,8,16
,3507040-Rideau Lakes,5,9,14,2,18,9,9,14
,3507052-Merrickville-Wolford,0,0,0,0,0,1,0,0
,3507065-North Grenville,1,7,9,5,1,9,56,43
,3509001-Montague,0,0,0,0,2,2,2,9
,3509004-Smiths Falls,2,1,0,3,2,4,14,15
,3509015-Tay Valley,0,0,0,0,1,0,10,17
,3509021-Perth,3,2,1,1,2,4,7,19
,3509024-Beckwith,1,0,0,0,0,0,6,15
,3509028-Carleton Place,1,0,1,1,2,2,17,24
,3509030-Mississippi Mills,1,1,0,0,1,0,2,13
,3509039-Lanark Highlands,0,1,0,0,0,0,0,0
,3510010-Kingston,42,27,51,76,90,76,139,273
,3510020-South Frontenac,0,0,3,0,0,2,0,1
,3510035-Central Frontenac,0,0,0,2,3,2,4,4
,3511005-Loyalist,0,1,7,1,1,16,5,36
,3511015-Greater Napanee,4,1,12,4,12,9,31,35
,3511030-Stone Mills,8,3,1,3,0,2,5,8
,3511035-Addington Highlands,0,0,1,0,2,0,0,0
,3512001-Tyendinaga,0,0,0,0,0,0,0,5
,3512005-Belleville,10,5,8,14,9,32,46,108
,3512015-Quinte West,32,22,21,28,42,33,91,103
,3512020-Stirling-Rawdon,1,0,1,7,4,2,2,7
,3512026-Centre Hastings,0,0,8,9,1,20,13,16
,3512030-Tweed,0,0,0,0,0,0,0,8
,3512046-Marmora and Lake,0,0,0,0,0,0,0,4
,3512058-Faraday,0,0,1,2,5,0,10,35
,3513020-Prince Edward County,136,215,271,241,268,287,375,372
,3514004-Brighton,28,32,35,32,32,26,53,55
,3514014-Cramahe,104,52,136,124,173,149,123,48
,3514019-Hamilton,7,14,30,7,38,31,42,53
,3514020-Port Hope,14,108,205,115,133,108,192,182
,3514021-Cobourg,2,3,4,11,11,13,39,34
,3514024-Alnwick/Haldimand,4,5,7,13,14,9,21,22
,3514027-Alderville First Nation,0,0,0,1,0,1,0,1
,3514045-Trent Hills,4,1,1,0,13,3,17,26
,3515003-Asphodel-Norwood,3,3,0,4,3,5,0,1
,3515005-Otonabee-South Monaghan,6,3,8,0,2,1,24,19
,3515013-Cavan Monaghan,3,5,5,7,1,1,6,6
,3515014-Peterborough,10,14,12,15,34,16,55,52
,3515015-Selwyn,0,2,1,2,3,1,5,3
,3515030-Havelock-Belmont-Methuen,1,0,0,1,1,10,3,8
,3515037-North Kawartha,23,17,16,16,14,1,39,21
,3515044-Trent Lakes,1,0,0,1,0,0,1,0
,3516010-Kawartha Lakes,40,71,78,67,66,78,101,219
,3518001-Pickering,104,129,123,134,112,126,205,237
,3518005-Ajax,60,70,74,67,46,62,101,229
,3518009-Whitby,139,141,121,278,129,303,262,255
,3518013-Oshawa,28,37,60,36,61,60,103,256
,3518017-Clarington,330,462,516,569,431,716,646,630
,3518020-Scugog,10,52,40,44,121,61,58,127
,3518029-Uxbridge,27,38,39,49,51,42,57,71
,3518039-Brock,3,9,11,21,10,21,18,22
,3519028-Vaughan,719,725,801,907,938,914,"1,692","2,026"
,3519036-Markham,360,542,428,549,457,551,779,782
,3519038-Richmond Hill,209,205,251,237,197,203,363,415
,3519044-Whitchurch-Stouffville,34,61,40,46,40,92,96,262
,3519046-Aurora,36,37,35,44,42,52,58,109
,3519048-Newmarket,21,57,60,49,84,66,155,124
,3519049-King,310,396,406,438,350,394,574,577
,3519054-East Gwillimbury,219,589,460,335,254,403,493,414
,3519070-Georgina,21,24,28,56,12,13,23,65
,3520005-Toronto,"3,227","3,434","3,829","4,363","3,888","4,291","6,976","7,717"
,3521005-Mississauga,626,787,979,"1,249","1,647","1,471","2,976","4,192"
,3521010-Brampton,443,656,811,"1,019","1,216","1,066","1,889","3,334"
,3521024-Caledon,66,73,136,179,259,281,569,680
,3522001-East Garafraxa,1,0,1,1,2,2,2,22
,3522008-Amaranth,3,3,9,9,6,4,11,13
,3522010-Grand Valley,0,3,3,3,19,13,10,7
,3522012-Mono,20,15,32,36,31,33,45,37
,3522014-Orangeville,4,11,7,20,26,24,69,93
,3522016-Mulmur,2,5,5,12,1,15,8,7
,3522019-Melancthon,36,70,57,60,37,45,45,70
,3522021-Shelburne,1,1,0,2,9,2,20,44
,3523001-Puslinch,8,4,15,7,28,12,32,49
,3523008-Guelph,59,146,159,82,107,433,454,258
,3523009-Guelph/Eramosa,18,13,13,31,31,21,32,34
,3523017-Erin,5,5,11,6,9,6,6,14
,3523025-Centre Wellington,7,6,20,31,42,26,98,102
,3523033-Mapleton,0,0,4,4,11,9,26,8
,3523043-Minto,1,1,4,7,6,11,16,19
,3523050-Wellington North,10,7,10,21,15,21,56,66
,3524001-Oakville,139,162,213,202,200,249,470,642
,3524002-Burlington,88,112,115,140,147,106,277,571
,3524009-Milton,107,131,175,188,218,148,396,454
,3524015-Halton Hills,174,185,200,215,223,213,332,409
,3525005-Hamilton,821,977,"1,203","1,254","1,318","1,295","1,867","2,351"
,3526003-Fort Erie,2,25,17,41,7,7,32,62
,3526011-Port Colborne,1,0,23,6,5,4,11,9
,3526014-Wainfleet,18,16,28,36,38,43,73,57
,3526021-West Lincoln,43,25,22,53,62,73,53,94
,3526028-Pelham,230,327,336,274,271,312,300,329
,3526032-Welland,5,6,5,3,17,27,42,125
,3526037-Thorold,7,8,7,3,11,9,15,40
,3526043-Niagara Falls,34,35,43,67,63,81,274,263
,3526047-Niagara-on-the-Lake,"1,192","1,617","1,570","1,573","1,532","1,444","1,857","2,280"
,3526053-St. Catharines,479,610,643,625,679,614,724,"1,349"
,3526057-Lincoln,874,"1,279","1,361","1,472","1,196","1,543","1,214","1,265"
,3526065-Grimsby,30,22,66,34,44,38,64,93
,3528018-Haldimand County,142,208,393,255,289,360,410,408
,3528052-Norfolk County,"3,631","6,213","5,264","4,887","4,700","5,195","5,757","6,757"
,3529005-Brant,745,"1,253","1,175","1,147",938,"1,191","1,344","1,394"
,3529006-Brantford,19,26,20,82,45,42,165,218
,3529020-Six Nations (Part) 40,16,22,46,4,33,8,40,56
,3529021-New Credit (Part) 40A,0,1,0,0,3,1,14,10
,3530004-North Dumfries,3,4,2,16,19,17,16,48
,3530010-Cambridge,59,50,46,90,78,83,206,363
,3530013-Kitchener,60,84,143,178,175,206,328,391
,3530016-Waterloo,100,109,146,166,131,254,297,302
,3530020-Wilmot,42,46,104,30,53,65,94,100
,3530027-Wellesley,0,0,0,2,2,2,2,5
,3530035-Woolwich,38,77,136,117,43,267,368,274
,3531011-Stratford,13,11,13,6,19,29,42,145
,3531013-Perth South,7,10,19,12,16,21,38,14
,3531016-St. Marys,1,4,4,12,6,4,23,27
,3531025-West Perth,20,17,18,20,18,29,46,43
,3531030-Perth East,2,0,1,1,3,4,12,8
,3531040-North Perth,0,10,0,24,28,64,77,65
,3532002-Norwich,118,188,253,274,205,192,236,275
,3532004-Tillsonburg,90,260,243,275,232,217,379,411
,3532012-South-West Oxford,47,100,78,93,130,86,138,105
,3532018-Ingersoll,39,39,33,3,3,2,6,71
,3532027-Zorra,17,18,33,27,23,29,34,30
,3532038-East Zorra-Tavistock,66,89,78,76,74,60,58,95
,3532042-Woodstock,25,35,10,7,23,10,70,110
,3532045-Blandford-Blenheim,120,244,165,172,161,70,200,114
,3534005-Bayham,211,254,411,587,439,565,737,527
,3534010-Malahide,300,353,368,458,314,483,639,349
,3534011-Aylmer,0,0,1,3,1,4,2,33
