"Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIA) by Economic Region, National Occupational Classification - 2011 (NOC) Occupational skill Type, and Province/Territory ",,,,,,,,,,
,,,,,,,,,,
Province/Territory,Economic Region ,NOC 2011 Occupational Skill Type,2016,2017,2018,2019,2020,2021,2022,2023
Manitoba                 ,4610 - Southeast,"1 - Business, finance and administration occupations ",0,0,0,2,0,5,4,24
Manitoba                 ,4610 - Southeast,2 - Natural and applied sciences and related occupations ,1,0,1,0,0,2,0,2
Manitoba                 ,4610 - Southeast,3 - Health occupations ,1,0,0,0,0,0,0,0
Manitoba                 ,4610 - Southeast,"4 - Occupations in education, law and social, community and government services ",0,0,1,3,0,1,0,0
Manitoba                 ,4610 - Southeast,"5 - Occupations in art, culture, recreation and sport ",2,0,0,0,0,0,0,0
Manitoba                 ,4610 - Southeast,6 - Sales and service occupations ,0,4,6,29,1,10,102,75
Manitoba                 ,4610 - Southeast,"7 - Trades, transport and equipment operators and related occupations ",10,0,2,76,51,32,95,130
Manitoba                 ,4610 - Southeast,"8 - Natural resources, agriculture and related production occupations ",70,62,49,67,79,38,150,91
Manitoba                 ,4610 - Southeast,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,2,6
Manitoba                 ,4620 - South Central,0 - Management occupations ,0,0,1,1,0,0,1,3
Manitoba                 ,4620 - South Central,"1 - Business, finance and administration occupations ",0,0,0,0,1,0,0,3
Manitoba                 ,4620 - South Central,2 - Natural and applied sciences and related occupations ,1,4,4,5,2,3,1,0
Manitoba                 ,4620 - South Central,3 - Health occupations ,0,0,0,0,0,0,1,2
Manitoba                 ,4620 - South Central,"4 - Occupations in education, law and social, community and government services ",0,0,0,2,0,0,0,0
Manitoba,4620 - South Central,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Manitoba                 ,4620 - South Central,6 - Sales and service occupations ,2,4,6,8,3,8,56,66
Manitoba                 ,4620 - South Central,"7 - Trades, transport and equipment operators and related occupations ",1,4,1,12,6,0,22,12
Manitoba                 ,4620 - South Central,"8 - Natural resources, agriculture and related production occupations ",125,82,183,200,178,186,183,345
Manitoba                 ,4620 - South Central,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,5,0
Manitoba                 ,4630 - Southwest,0 - Management occupations ,5,1,3,4,0,2,8,4
Manitoba                 ,4630 - Southwest,"1 - Business, finance and administration occupations ",0,0,0,0,0,1,2,11
Manitoba                 ,4630 - Southwest,2 - Natural and applied sciences and related occupations ,4,8,6,4,14,6,15,8
Manitoba                 ,4630 - Southwest,3 - Health occupations ,4,2,2,4,3,7,2,9
Manitoba                 ,4630 - Southwest,"4 - Occupations in education, law and social, community and government services ",2,2,4,3,1,1,0,2
Manitoba                 ,4630 - Southwest,"5 - Occupations in art, culture, recreation and sport ",0,0,0,1,0,0,0,0
Manitoba                 ,4630 - Southwest,6 - Sales and service occupations ,172,179,170,192,17,173,234,107
Manitoba                 ,4630 - Southwest,"7 - Trades, transport and equipment operators and related occupations ",14,3,2,10,2,2,18,8
Manitoba                 ,4630 - Southwest,"8 - Natural resources, agriculture and related production occupations ",39,19,37,37,57,62,67,74
Manitoba                 ,4630 - Southwest,9 - Occupations in manufacturing and utilities ,0,65,0,0,0,50,102,17
Manitoba                 ,4640 - North Central,0 - Management occupations ,3,2,1,2,1,0,1,1
Manitoba                 ,4640 - North Central,"1 - Business, finance and administration occupations ",0,0,2,1,0,1,2,6
Manitoba                 ,4640 - North Central,2 - Natural and applied sciences and related occupations ,3,1,0,0,0,0,0,0
Manitoba,4640 - North Central,3 - Health occupations ,0,0,0,0,0,0,0,0
Manitoba                 ,4640 - North Central,"4 - Occupations in education, law and social, community and government services ",0,0,0,0,0,1,0,1
Manitoba,4640 - North Central,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Manitoba                 ,4640 - North Central,6 - Sales and service occupations ,5,0,9,3,1,5,43,48
Manitoba                 ,4640 - North Central,"7 - Trades, transport and equipment operators and related occupations ",8,4,7,26,18,2,18,14
Manitoba                 ,4640 - North Central,"8 - Natural resources, agriculture and related production occupations ",301,290,284,275,474,336,381,587
Manitoba                 ,4640 - North Central,9 - Occupations in manufacturing and utilities ,0,0,1,0,0,0,3,3
Manitoba                 ,4650 - Winnipeg,0 - Management occupations ,7,7,12,25,19,22,29,30
Manitoba                 ,4650 - Winnipeg,"1 - Business, finance and administration occupations ",7,6,12,26,22,37,166,283
Manitoba                 ,4650 - Winnipeg,2 - Natural and applied sciences and related occupations ,10,25,86,33,24,54,67,40
Manitoba                 ,4650 - Winnipeg,3 - Health occupations ,16,16,6,11,8,22,27,39
Manitoba                 ,4650 - Winnipeg,"4 - Occupations in education, law and social, community and government services ",28,24,35,43,28,43,30,44
Manitoba                 ,4650 - Winnipeg,"5 - Occupations in art, culture, recreation and sport ",25,11,36,3,2,5,4,8
Manitoba                 ,4650 - Winnipeg,6 - Sales and service occupations ,39,22,46,64,99,104,347,688
Manitoba                 ,4650 - Winnipeg,"7 - Trades, transport and equipment operators and related occupations ",78,99,84,260,244,366,812,941
Manitoba                 ,4650 - Winnipeg,"8 - Natural resources, agriculture and related production occupations ",6,11,3,3,5,1,12,11
Manitoba                 ,4650 - Winnipeg,9 - Occupations in manufacturing and utilities ,0,0,5,4,2,2,117,14
Manitoba                 ,4660 - Interlake,0 - Management occupations ,0,0,1,1,0,2,1,2
Manitoba                 ,4660 - Interlake,"1 - Business, finance and administration occupations ",0,0,0,1,3,3,15,35
Manitoba                 ,4660 - Interlake,2 - Natural and applied sciences and related occupations ,2,0,2,2,0,0,3,2
Manitoba                 ,4660 - Interlake,3 - Health occupations ,3,3,0,0,1,2,2,2
Manitoba                 ,4660 - Interlake,"4 - Occupations in education, law and social, community and government services ",2,2,1,5,1,0,1,1
Manitoba                 ,4660 - Interlake,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,1,0
Manitoba                 ,4660 - Interlake,6 - Sales and service occupations ,5,4,9,12,6,10,61,75
Manitoba                 ,4660 - Interlake,"7 - Trades, transport and equipment operators and related occupations ",7,0,4,52,57,92,167,281
Manitoba                 ,4660 - Interlake,"8 - Natural resources, agriculture and related production occupations ",35,149,137,179,172,66,106,92
Manitoba                 ,4660 - Interlake,9 - Occupations in manufacturing and utilities ,1,0,0,0,0,0,4,15
Manitoba                 ,4670 - Parklands,0 - Management occupations ,0,1,0,2,1,0,2,4
Manitoba                 ,4670 - Parklands,"1 - Business, finance and administration occupations ",0,0,0,0,1,0,1,1
Manitoba                 ,4670 - Parklands,2 - Natural and applied sciences and related occupations ,2,1,0,0,0,0,1,0
Manitoba                 ,4670 - Parklands,3 - Health occupations ,1,2,0,1,0,0,0,1
Manitoba                 ,4670 - Parklands,"4 - Occupations in education, law and social, community and government services ",0,0,1,2,2,0,0,0
Manitoba,4670 - Parklands,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Manitoba                 ,4670 - Parklands,6 - Sales and service occupations ,7,11,12,15,21,11,81,89
Manitoba                 ,4670 - Parklands,"7 - Trades, transport and equipment operators and related occupations ",0,1,1,5,1,11,2,31
Manitoba                 ,4670 - Parklands,"8 - Natural resources, agriculture and related production occupations ",111,72,84,115,112,41,141,105
Manitoba                 ,4670 - Parklands,9 - Occupations in manufacturing and utilities ,0,0,0,1,0,0,1,0
Manitoba                 ,4680 - North,0 - Management occupations ,0,1,0,0,0,0,1,8
Manitoba                 ,4680 - North,"1 - Business, finance and administration occupations ",3,3,2,0,1,1,4,3
Manitoba                 ,4680 - North,2 - Natural and applied sciences and related occupations ,0,0,0,0,0,0,0,2
Manitoba                 ,4680 - North,3 - Health occupations ,2,0,1,1,0,0,3,1
Manitoba                 ,4680 - North,"4 - Occupations in education, law and social, community and government services ",25,20,19,14,6,1,5,5
Manitoba,4680 - North,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Manitoba                 ,4680 - North,6 - Sales and service occupations ,15,35,3,26,8,12,102,70
Manitoba                 ,4680 - North,"7 - Trades, transport and equipment operators and related occupations ",15,2,3,7,1,5,9,10
Manitoba                 ,4680 - North,"8 - Natural resources, agriculture and related production occupations ",0,0,0,65,11,3,8,17
Manitoba,4680 - North,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Manitoba                 ,9-Unspecified,0 - Management occupations ,0,0,1,0,0,0,0,2
Manitoba                 ,9-Unspecified,"1 - Business, finance and administration occupations ",0,0,0,1,0,0,1,11
Manitoba                 ,9-Unspecified,2 - Natural and applied sciences and related occupations ,0,1,0,0,0,0,1,0
Manitoba                 ,9-Unspecified,3 - Health occupations ,0,1,0,0,0,0,0,1
Manitoba                 ,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",0,0,0,0,0,0,0,1
Manitoba,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Manitoba                 ,9-Unspecified,6 - Sales and service occupations ,7,0,5,1,0,1,7,5
Manitoba                 ,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",0,16,2,0,3,5,15,40
Manitoba                 ,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",15,41,63,3,0,0,2,0
Manitoba                 ,9-Unspecified,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,1
Manitoba                 ,Total,,"1,248","1,324","1,459","1,952","1,773","1,858","3,880","4,676"
Saskatchewan             ,4710 - Regina--Moose Mountain,0 - Management occupations ,7,7,3,6,6,11,7,18
Saskatchewan             ,4710 - Regina--Moose Mountain,"1 - Business, finance and administration occupations ",1,0,0,1,1,5,23,28
Saskatchewan             ,4710 - Regina--Moose Mountain,2 - Natural and applied sciences and related occupations ,69,46,24,22,3,8,23,7
Saskatchewan             ,4710 - Regina--Moose Mountain,3 - Health occupations ,8,9,12,4,7,9,11,12
Saskatchewan             ,4710 - Regina--Moose Mountain,"4 - Occupations in education, law and social, community and government services ",18,16,33,19,1,13,6,6
Saskatchewan             ,4710 - Regina--Moose Mountain,"5 - Occupations in art, culture, recreation and sport ",1,2,8,4,0,0,5,4
Saskatchewan             ,4710 - Regina--Moose Mountain,6 - Sales and service occupations ,58,55,36,64,47,76,240,336
Saskatchewan             ,4710 - Regina--Moose Mountain,"7 - Trades, transport and equipment operators and related occupations ",89,27,37,102,65,80,163,173
Saskatchewan             ,4710 - Regina--Moose Mountain,"8 - Natural resources, agriculture and related production occupations ",57,75,82,100,90,90,154,132
Saskatchewan             ,4710 - Regina--Moose Mountain,9 - Occupations in manufacturing and utilities ,0,0,2,2,0,1,9,5
Saskatchewan             ,4720 - Swift Current--Moose Jaw,0 - Management occupations ,2,0,1,0,0,1,2,2
Saskatchewan             ,4720 - Swift Current--Moose Jaw,"1 - Business, finance and administration occupations ",0,0,0,0,0,1,3,10
Saskatchewan             ,4720 - Swift Current--Moose Jaw,2 - Natural and applied sciences and related occupations ,4,1,0,3,2,0,4,2
Saskatchewan             ,4720 - Swift Current--Moose Jaw,3 - Health occupations ,3,4,2,1,1,1,5,5
Saskatchewan             ,4720 - Swift Current--Moose Jaw,"4 - Occupations in education, law and social, community and government services ",4,2,7,2,1,4,0,3
Saskatchewan,4720 - Swift Current--Moose Jaw,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Saskatchewan             ,4720 - Swift Current--Moose Jaw,6 - Sales and service occupations ,16,21,8,59,40,20,110,100
Saskatchewan             ,4720 - Swift Current--Moose Jaw,"7 - Trades, transport and equipment operators and related occupations ",0,9,4,26,4,6,41,55
Saskatchewan             ,4720 - Swift Current--Moose Jaw,"8 - Natural resources, agriculture and related production occupations ",68,70,63,116,101,45,155,132
Saskatchewan             ,4720 - Swift Current--Moose Jaw,9 - Occupations in manufacturing and utilities ,0,0,0,2,0,0,30,3
Saskatchewan             ,4730 - Saskatoon--Biggar,0 - Management occupations ,4,7,3,1,5,7,11,14
Saskatchewan             ,4730 - Saskatoon--Biggar,"1 - Business, finance and administration occupations ",2,3,1,5,1,3,15,28
Saskatchewan             ,4730 - Saskatoon--Biggar,2 - Natural and applied sciences and related occupations ,5,28,37,24,14,26,18,7
Saskatchewan             ,4730 - Saskatoon--Biggar,3 - Health occupations ,8,10,6,4,5,6,12,3
Saskatchewan             ,4730 - Saskatoon--Biggar,"4 - Occupations in education, law and social, community and government services ",35,31,49,38,10,10,14,13
Saskatchewan             ,4730 - Saskatoon--Biggar,"5 - Occupations in art, culture, recreation and sport ",1,2,1,0,0,1,2,0
Saskatchewan             ,4730 - Saskatoon--Biggar,6 - Sales and service occupations ,39,25,26,50,48,74,244,343
Saskatchewan             ,4730 - Saskatoon--Biggar,"7 - Trades, transport and equipment operators and related occupations ",49,23,37,37,57,80,188,240
Saskatchewan             ,4730 - Saskatoon--Biggar,"8 - Natural resources, agriculture and related production occupations ",141,154,189,172,161,152,157,270
Saskatchewan             ,4730 - Saskatoon--Biggar,9 - Occupations in manufacturing and utilities ,0,0,2,0,0,6,28,35
Saskatchewan             ,4740 - Yorkton--Melville,0 - Management occupations ,4,0,0,2,1,1,0,0
Saskatchewan             ,4740 - Yorkton--Melville,"1 - Business, finance and administration occupations ",0,0,0,0,0,0,0,1
Saskatchewan             ,4740 - Yorkton--Melville,2 - Natural and applied sciences and related occupations ,3,1,0,0,0,0,1,2
Saskatchewan             ,4740 - Yorkton--Melville,3 - Health occupations ,0,2,0,2,1,0,1,3
Saskatchewan             ,4740 - Yorkton--Melville,"4 - Occupations in education, law and social, community and government services ",3,3,3,4,2,2,3,1
Saskatchewan,4740 - Yorkton--Melville,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Saskatchewan             ,4740 - Yorkton--Melville,6 - Sales and service occupations ,35,22,25,33,27,14,74,121
Saskatchewan             ,4740 - Yorkton--Melville,"7 - Trades, transport and equipment operators and related occupations ",1,4,2,13,1,3,4,16
Saskatchewan             ,4740 - Yorkton--Melville,"8 - Natural resources, agriculture and related production occupations ",71,94,59,123,113,78,110,132
Saskatchewan             ,4740 - Yorkton--Melville,9 - Occupations in manufacturing and utilities ,0,0,2,0,0,0,0,6
Saskatchewan             ,4750 - Prince Albert,0 - Management occupations ,0,2,0,1,1,2,1,2
Saskatchewan             ,4750 - Prince Albert,"1 - Business, finance and administration occupations ",1,2,0,0,1,1,1,1
Saskatchewan             ,4750 - Prince Albert,2 - Natural and applied sciences and related occupations ,6,11,7,9,8,9,10,14
Saskatchewan             ,4750 - Prince Albert,3 - Health occupations ,22,16,18,5,14,12,14,7
Saskatchewan             ,4750 - Prince Albert,"4 - Occupations in education, law and social, community and government services ",17,20,19,13,7,12,5,3
Saskatchewan             ,4750 - Prince Albert,"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,0,0,0
Saskatchewan             ,4750 - Prince Albert,6 - Sales and service occupations ,23,35,35,66,28,70,172,199
Saskatchewan             ,4750 - Prince Albert,"7 - Trades, transport and equipment operators and related occupations ",3,3,7,1,6,6,15,28
Saskatchewan             ,4750 - Prince Albert,"8 - Natural resources, agriculture and related production occupations ",208,216,203,290,278,241,304,551
Saskatchewan             ,4750 - Prince Albert,9 - Occupations in manufacturing and utilities ,0,3,0,0,2,0,10,5
Saskatchewan             ,4760 - Northern,0 - Management occupations ,2,2,2,4,2,2,2,3
Saskatchewan,4760 - Northern,"1 - Business, finance and administration occupations ",0,0,0,0,0,0,0,0
Saskatchewan             ,4760 - Northern,2 - Natural and applied sciences and related occupations ,5,0,0,0,0,0,0,0
Saskatchewan             ,4760 - Northern,3 - Health occupations ,0,1,0,1,0,0,0,0
Saskatchewan             ,4760 - Northern,"4 - Occupations in education, law and social, community and government services ",1,1,2,1,0,0,0,0
Saskatchewan,4760 - Northern,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Saskatchewan             ,4760 - Northern,6 - Sales and service occupations ,0,2,1,2,0,2,15,5
Saskatchewan             ,4760 - Northern,"7 - Trades, transport and equipment operators and related occupations ",2,0,0,0,0,0,1,1
Saskatchewan             ,4760 - Northern,"8 - Natural resources, agriculture and related production occupations ",0,0,5,0,0,0,0,0
Saskatchewan,4760 - Northern,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Saskatchewan             ,9-Unspecified,0 - Management occupations ,0,0,1,0,0,0,0,0
Saskatchewan             ,9-Unspecified,"1 - Business, finance and administration occupations ",0,0,0,0,0,0,1,0
Saskatchewan             ,9-Unspecified,2 - Natural and applied sciences and related occupations ,25,0,4,21,0,10,15,16
Saskatchewan             ,9-Unspecified,3 - Health occupations ,0,0,1,0,0,0,0,0
Saskatchewan             ,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",1,0,1,0,0,0,0,0
Saskatchewan             ,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",0,1,0,0,0,0,0,0
Saskatchewan             ,9-Unspecified,6 - Sales and service occupations ,0,0,0,2,0,0,0,0
Saskatchewan             ,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",5,6,7,4,1,5,5,9
Saskatchewan             ,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",38,16,21,5,1,12,3,12
Saskatchewan,9-Unspecified,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Saskatchewan             ,Total,,"1,166","1,090","1,098","1,466","1,164","1,218","2,447","3,124"
Alberta                  ,4810 - Lethbridge--Medicine Hat,0 - Management occupations ,36,12,7,12,3,5,19,9
Alberta                  ,4810 - Lethbridge--Medicine Hat,"1 - Business, finance and administration occupations ",4,6,4,5,4,7,24,35
Alberta                  ,4810 - Lethbridge--Medicine Hat,2 - Natural and applied sciences and related occupations ,20,2,3,1,2,1,3,11
Alberta                  ,4810 - Lethbridge--Medicine Hat,3 - Health occupations ,5,6,4,7,8,6,13,32
Alberta                  ,4810 - Lethbridge--Medicine Hat,"4 - Occupations in education, law and social, community and government services ",25,29,28,20,7,10,10,7
Alberta                  ,4810 - Lethbridge--Medicine Hat,"5 - Occupations in art, culture, recreation and sport ",1,1,2,2,0,0,1,0
Alberta                  ,4810 - Lethbridge--Medicine Hat,6 - Sales and service occupations ,130,183,103,176,119,138,541,500
Alberta                  ,4810 - Lethbridge--Medicine Hat,"7 - Trades, transport and equipment operators and related occupations ",30,23,14,26,2,1,64,91
Alberta                  ,4810 - Lethbridge--Medicine Hat,"8 - Natural resources, agriculture and related production occupations ","1,132",991,"1,015","1,197","1,021","1,312","1,157","1,838"
Alberta                  ,4810 - Lethbridge--Medicine Hat,9 - Occupations in manufacturing and utilities ,80,195,100,220,273,100,359,199
Alberta                  ,4820 - Camrose--Drumheller,0 - Management occupations ,18,8,14,11,5,8,16,13
Alberta                  ,4820 - Camrose--Drumheller,"1 - Business, finance and administration occupations ",2,0,1,1,3,5,27,21
Alberta                  ,4820 - Camrose--Drumheller,2 - Natural and applied sciences and related occupations ,1,2,2,2,2,1,2,1
Alberta                  ,4820 - Camrose--Drumheller,3 - Health occupations ,19,0,1,7,0,7,13,26
Alberta                  ,4820 - Camrose--Drumheller,"4 - Occupations in education, law and social, community and government services ",17,24,21,13,7,11,8,8
Alberta                  ,4820 - Camrose--Drumheller,"5 - Occupations in art, culture, recreation and sport ",1,1,2,2,1,0,2,1
Alberta                  ,4820 - Camrose--Drumheller,6 - Sales and service occupations ,179,149,149,200,134,144,517,489
Alberta                  ,4820 - Camrose--Drumheller,"7 - Trades, transport and equipment operators and related occupations ",18,10,12,9,10,3,94,62
Alberta                  ,4820 - Camrose--Drumheller,"8 - Natural resources, agriculture and related production occupations ",237,269,319,329,277,374,431,522
Alberta                  ,4820 - Camrose--Drumheller,9 - Occupations in manufacturing and utilities ,7,14,10,36,13,22,6,33
Alberta                  ,4830 - Calgary,0 - Management occupations ,188,134,72,114,79,98,163,194
Alberta                  ,4830 - Calgary,"1 - Business, finance and administration occupations ",81,70,58,179,155,180,736,990
Alberta                  ,4830 - Calgary,2 - Natural and applied sciences and related occupations ,108,78,71,124,76,147,485,268
Alberta                  ,4830 - Calgary,3 - Health occupations ,33,28,25,26,17,20,36,75
Alberta                  ,4830 - Calgary,"4 - Occupations in education, law and social, community and government services ",516,467,589,425,158,233,176,207
Alberta                  ,4830 - Calgary,"5 - Occupations in art, culture, recreation and sport ",77,40,38,43,18,22,62,56
Alberta                  ,4830 - Calgary,6 - Sales and service occupations ,"1,103",970,774,"1,321",787,873,"2,796","3,692"
Alberta                  ,4830 - Calgary,"7 - Trades, transport and equipment operators and related occupations ",465,407,376,992,595,355,"2,156","2,694"
Alberta                  ,4830 - Calgary,"8 - Natural resources, agriculture and related production occupations ",215,176,279,247,255,212,301,614
Alberta                  ,4830 - Calgary,9 - Occupations in manufacturing and utilities ,67,31,60,70,20,37,152,193
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,0 - Management occupations ,12,14,5,11,10,6,18,8
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,"1 - Business, finance and administration occupations ",1,3,0,8,3,4,17,14
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,2 - Natural and applied sciences and related occupations ,2,1,4,3,1,0,0,2
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,3 - Health occupations ,5,1,1,3,2,2,4,21
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,"4 - Occupations in education, law and social, community and government services ",6,15,23,12,4,8,4,11
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,"5 - Occupations in art, culture, recreation and sport ",29,17,19,10,1,1,1,14
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,6 - Sales and service occupations ,257,264,212,494,234,265,"1,175",750
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,"7 - Trades, transport and equipment operators and related occupations ",14,13,21,8,8,8,18,37
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,"8 - Natural resources, agriculture and related production occupations ",14,38,68,67,45,47,57,82
Alberta                  ,4840 - Banff--Jasper--Rocky Mountain House,9 - Occupations in manufacturing and utilities ,3,2,0,10,0,0,4,9
Alberta                  ,4850 - Red Deer,0 - Management occupations ,23,8,3,8,5,1,13,18
Alberta                  ,4850 - Red Deer,"1 - Business, finance and administration occupations ",2,2,1,2,2,7,17,21
Alberta                  ,4850 - Red Deer,2 - Natural and applied sciences and related occupations ,8,8,4,6,1,0,6,9
Alberta                  ,4850 - Red Deer,3 - Health occupations ,5,4,1,3,4,8,15,30
Alberta                  ,4850 - Red Deer,"4 - Occupations in education, law and social, community and government services ",46,46,48,21,12,21,19,16
Alberta                  ,4850 - Red Deer,"5 - Occupations in art, culture, recreation and sport ",6,6,5,2,2,1,1,7
Alberta                  ,4850 - Red Deer,6 - Sales and service occupations ,139,134,117,192,102,139,447,514
Alberta                  ,4850 - Red Deer,"7 - Trades, transport and equipment operators and related occupations ",18,29,24,40,23,13,78,67
Alberta                  ,4850 - Red Deer,"8 - Natural resources, agriculture and related production occupations ",140,201,252,231,260,234,333,456
Alberta                  ,4850 - Red Deer,9 - Occupations in manufacturing and utilities ,8,4,1,2,6,4,248,5
Alberta                  ,4860 - Edmonton,0 - Management occupations ,162,106,49,87,44,81,137,179
Alberta                  ,4860 - Edmonton,"1 - Business, finance and administration occupations ",99,71,92,271,180,272,922,"1,113"
Alberta                  ,4860 - Edmonton,2 - Natural and applied sciences and related occupations ,83,51,76,93,55,77,205,159
Alberta                  ,4860 - Edmonton,3 - Health occupations ,52,42,35,44,30,21,33,58
Alberta                  ,4860 - Edmonton,"4 - Occupations in education, law and social, community and government services ",469,521,576,468,203,272,332,343
Alberta                  ,4860 - Edmonton,"5 - Occupations in art, culture, recreation and sport ",29,25,12,22,12,15,33,39
Alberta                  ,4860 - Edmonton,6 - Sales and service occupations ,"1,453","1,090",784,"1,467",816,"1,172","3,219","4,013"
Alberta                  ,4860 - Edmonton,"7 - Trades, transport and equipment operators and related occupations ",563,642,585,"1,380",608,583,"2,701","2,793"
Alberta                  ,4860 - Edmonton,"8 - Natural resources, agriculture and related production occupations ",306,246,317,332,286,258,360,595
Alberta                  ,4860 - Edmonton,9 - Occupations in manufacturing and utilities ,84,28,37,46,10,11,121,157
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,0 - Management occupations ,33,27,19,22,10,12,14,9
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,"1 - Business, finance and administration occupations ",8,4,8,4,7,9,33,25
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,2 - Natural and applied sciences and related occupations ,3,8,6,4,0,10,6,3
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,3 - Health occupations ,25,7,6,10,13,13,41,102
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,"4 - Occupations in education, law and social, community and government services ",64,62,73,47,17,21,10,20
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,"5 - Occupations in art, culture, recreation and sport ",0,1,1,2,2,3,0,0
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,6 - Sales and service occupations ,306,349,300,561,275,418,"1,004",868
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,"7 - Trades, transport and equipment operators and related occupations ",39,24,30,76,29,22,91,146
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,"8 - Natural resources, agriculture and related production occupations ",197,280,339,401,278,293,364,531
Alberta                  ,4870 - Athabasca--Grande Prairie--Peace River,9 - Occupations in manufacturing and utilities ,5,5,1,0,1,2,22,12
Alberta                  ,4880 - Wood Buffalo--Cold Lake,0 - Management occupations ,36,16,12,3,9,8,6,8
Alberta                  ,4880 - Wood Buffalo--Cold Lake,"1 - Business, finance and administration occupations ",4,5,2,4,5,4,10,19
Alberta                  ,4880 - Wood Buffalo--Cold Lake,2 - Natural and applied sciences and related occupations ,30,32,38,21,15,0,18,14
Alberta                  ,4880 - Wood Buffalo--Cold Lake,3 - Health occupations ,11,6,2,1,0,7,9,24
Alberta                  ,4880 - Wood Buffalo--Cold Lake,"4 - Occupations in education, law and social, community and government services ",106,118,129,86,23,39,33,37
Alberta                  ,4880 - Wood Buffalo--Cold Lake,"5 - Occupations in art, culture, recreation and sport ",3,5,5,3,0,2,0,1
Alberta                  ,4880 - Wood Buffalo--Cold Lake,6 - Sales and service occupations ,186,289,152,258,172,200,551,501
Alberta                  ,4880 - Wood Buffalo--Cold Lake,"7 - Trades, transport and equipment operators and related occupations ",48,25,61,32,33,37,115,78
Alberta                  ,4880 - Wood Buffalo--Cold Lake,"8 - Natural resources, agriculture and related production occupations ",96,113,111,121,151,110,110,218
Alberta                  ,4880 - Wood Buffalo--Cold Lake,9 - Occupations in manufacturing and utilities ,11,1,2,7,6,0,4,0
Alberta                  ,9-Unspecified,0 - Management occupations ,3,1,0,4,0,2,0,3
Alberta                  ,9-Unspecified,"1 - Business, finance and administration occupations ",0,0,0,1,0,0,0,4
Alberta                  ,9-Unspecified,2 - Natural and applied sciences and related occupations ,2,12,10,27,0,0,10,2
Alberta                  ,9-Unspecified,3 - Health occupations ,28,5,7,1,1,3,5,8
Alberta                  ,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",1,4,3,5,3,0,0,1
Alberta                  ,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",5,5,5,1,0,0,0,0
Alberta                  ,9-Unspecified,6 - Sales and service occupations ,10,10,4,4,4,2,21,23
Alberta                  ,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",76,80,110,51,16,12,23,285
Alberta                  ,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",42,127,63,23,28,19,42,141
Alberta                  ,9-Unspecified,9 - Occupations in manufacturing and utilities ,1,0,0,0,0,0,0,3
Alberta                  ,Total,,"10,232","9,579","9,024","12,940","8,118","9,111","23,450","27,507"
